user_id	post_type	post_id
12231153	question	58523317
12240008	question	58467292
8997372	question	58409708
735239	question	34954689
1328888	question	57372502
4799758	question	30231943
882773	question	56816517
6010117	question	35920090
10055952	question	56452461
11469969	question	56236905
4411080	question	48555963
1096998	question	9374228
10719129	question	55602332
10515503	question	55423020
467732	question	31112901
9565908	question	55150735
1757401	question	20695877
11088692	question	54781827
10716939	question	54593947
1651224	question	54276710
1031569	question	54075497
7297002	question	43987829
8709940	question	53978637
10626486	question	53844935
4406522	question	37928367
3549132	question	37042755
4770609	question	53309071
7947246	question	52896952
5747043	question	51831639
9859452	question	51789226
10140611	question	51768666
9822065	question	51419069
10140611	question	51544880
9968719	question	51194979
4894657	question	51066264
3243173	question	21449491
8974334	question	50517090
4635579	question	37370967
1118019	question	10214320
6423904	question	50009723
8964633	question	49580666
5831005	question	49307876
7069608	question	49116109
9386839	question	48890091
9357307	question	49040234
8634006	question	48845848
8769474	question	48826490
9313899	question	48613056
5716477	question	48538319
4566161	question	48442582
6313073	question	37478317
5015595	question	47944876
5010770	question	48250373
6518078	question	48002300
9063677	question	48068654
5673922	question	46350183
8724413	question	47791084
7356888	question	47727413
961296	question	47578337
6928258	question	47408143
8383607	question	47448578
8398927	question	47325644
9382	question	47319525
8906381	question	47178871
8420023	question	46902092
8200184	question	46685527
6813005	question	46322248
7940355	question	46246471
8507117	question	46143903
8114092	question	46075541
6108371	question	41791236
6728630	question	45809366
372630	question	45698746
7058735	question	45656589
8061998	question	45655749
7563449	question	45513181
1767759	question	22697452
1784053	question	45478376
6375904	question	45457160
4297979	question	45271622
6124708	question	45263435
8108219	question	45268218
3569413	question	45178735
5477594	question	45092234
1993760	question	45030277
7043325	question	45017935
8283450	question	45012711
7246191	question	44933442
7940355	question	44861812
7246191	question	44804325
6515530	question	44782647
2763154	question	44761528
6527844	question	44675905
7721665	question	44430616
8089014	question	44378363
7684942	question	44309731
8086411	question	44262560
4684797	question	33953721
8064006	question	44176389
8051266	question	44125650
4332480	question	44083298
7099639	question	44003604
4562144	question	28523633
6749771	question	43920468
7809774	question	43866791
7903731	question	43858436
7786344	question	43836921
7143842	question	43755608
7559344	question	42609312
7630046	question	43702143
7388434	question	43637709
7814912	question	43641631
2276736	question	22271471
5872371	question	42761923
5844782	question	43360031
7826395	question	43253793
5337466	question	43230868
7814912	question	43210637
6707521	question	43128088
3042018	question	43119663
3090189	question	42998434
7725231	question	42973918
7737117	question	42893772
5367133	question	42424862
7298899	question	42864661
705725	question	42679075
1116783	question	31217241
5872371	question	42646693
4063617	question	42576478
3819449	question	30917668
3386779	question	42523729
3870112	question	42508854
7632450	question	42497619
3523912	question	42415723
7594944	question	42353195
7591175	question	42337064
5611077	question	41438998
7428715	question	42047012
5615228	question	41924302
5691927	question	41559635
3856177	question	41843690
6222152	question	41853645
7366625	question	41743340
6696904	question	41552364
1115367	question	23169576
4174195	question	41463106
2822337	question	19339029
2649769	question	18462336
7289427	question	41421129
6546151	question	41421250
5900689	question	41195498
4731885	question	41177299
7278812	question	41082678
4704969	question	40909212
4704969	question	40889554
6310798	question	40893133
7208831	question	40801399
5493076	question	38081357
7207330	question	40795871
3771012	question	40694168
1974790	question	40543492
3005003	question	40358525
3907658	question	40140102
3634506	question	39916568
4640719	question	39945225
6923084	question	39861093
6166930	question	39825507
3677168	question	39793335
4785333	question	39759474
4282529	question	39706411
6774235	question	39618446
6845164	question	39557685
5681081	question	39544040
1636876	question	39473414
1139398	question	39468262
6401008	question	39460496
6222152	question	39250023
4785333	question	39237980
5069132	question	39216341
6475972	question	39195050
1008823	question	39185697
6290835	question	39124088
6275579	question	39114369
3781199	question	39060603
6653823	question	38940063
4635579	question	37380965
5707809	question	38930310
6708287	question	38913280
5619896	question	38821394
6438201	question	38786749
1218380	question	24020035
4400252	question	37974237
6438201	question	38695109
6363190	question	38601403
3743069	question	26558916
6330628	question	38317233
4363387	question	38290694
3243173	question	21489373
6461911	question	38110678
5010192	question	38095409
6501933	question	38045000
5813068	question	38004034
1066197	question	27882156
3140707	question	21415988
2225110	question	37713585
5331601	question	37692282
6385173	question	37671367
4983469	question	37572858
6408838	question	37565218
6408226	question	37562476
3732711	question	37344854
4506154	question	37265294
4381665	question	37263021
6300892	question	37241326
4307429	question	37221064
5425885	question	37174939
1348596	question	37139956
5217568	question	33535055
5524478	question	37081652
5027061	question	37058858
2216919	question	37057215
2688196	question	19303862
6275215	question	36971297
2030321	question	36081947
5395185	question	36974396
6054195	question	36940316
6059023	question	36667759
6157267	question	36478017
3808794	question	36390511
5027061	question	36382108
5728675	question	36378410
5873517	question	36273948
3164386	question	24503882
5818302	question	36166768
5152892	question	36047085
2761425	question	35733029
6010117	question	35927409
5061865	question	35819041
6019433	question	35802313
2761425	question	35732701
3243173	question	21449184
4639312	question	35497461
4671920	question	35607967
5889751	question	35607274
5027061	question	35594207
3299574	question	35509879
5902266	question	35387272
5661019	question	35326343
1760937	question	35292913
4541434	question	35187321
456332	question	35186256
4684797	question	35173084
568503	question	35149431
5822173	question	35033115
5494384	question	34982088
4265798	question	34926640
2363199	question	34908353
419425	question	34904333
1561550	question	14582507
5812048	question	34885017
4864334	question	34816056
4357818	question	27462306
5762524	question	34677033
4864334	question	34648551
5727130	question	34512455
580950	question	34516747
5661019	question	34424821
3624793	question	34475444
1043706	question	24290472
5696474	question	34377984
5570920	question	34286949
5244870	question	34195775
4907142	question	32836943
4735105	question	34120588
3607726	question	30491423
3537915	question	33961718
4461239	question	33954655
5609116	question	33943881
4997649	question	33933494
2457563	question	17053897
2024493	question	33706160
1677692	question	33701368
3914509	question	33673815
4972993	question	33667691
2308024	question	33622544
3522687	question	33509313
3967113	question	33539640
3344629	question	33511427
629127	question	33366535
3422159	question	33356593
4118402	question	33311398
3390083	question	33217992
1030291	question	33134385
1570524	question	33095784
4803173	question	33111433
1760937	question	33068895
1760937	question	33065208
1561346	question	33037037
4021991	question	32987596
4909783	question	32960665
2076123	question	24649120
1144247	question	11537815
1144247	question	11540703
1231901	question	11627531
1548964	question	11632714
1198939	question	11630773
5395022	question	32922494
4909783	question	32915404
1038814	question	32898200
4635579	question	32879073
5369127	question	32800461
4819380	question	32718647
1374796	question	32699321
4848302	question	32671930
4289616	question	29153802
3880396	question	32492857
2769095	question	32416567
5027061	question	32389562
1893672	question	32291005
4634937	question	32302914
4534860	question	32296273
5262198	question	32193380
4934026	question	32079178
1672778	question	13782884
3715390	question	32005025
1721367	question	31969152
5108384	question	31889373
1573710	question	31871158
2057387	question	31839781
5164402	question	31812812
3680657	question	31641499
4223358	question	31616892
4490837	question	31609085
4853130	question	31603115
4505901	question	31595127
2500177	question	29341938
4340261	question	31584237
5123400	question	31561987
5132263	question	31505558
1218781	question	31469297
4110405	question	31450631
1280391	question	31063417
4114924	question	31254386
4568705	question	31214708
4331819	question	31182040
4409650	question	31158453
2993494	question	31136285
1875937	question	31075979
2231031	question	31050025
4933137	question	30991562
3740894	question	30943912
5021167	question	30900457
4239526	question	30828160
4932412	question	30825880
4354830	question	30684594
1046690	question	30599376
3100193	question	30552166
1318872	question	15679446
4921783	question	30458010
4785333	question	30443786
4822032	question	30404981
4837417	question	30375085
4222861	question	30334018
4914404	question	30316156
4575240	question	30197910
1027620	question	29950744
4833572	question	29949732
4253848	question	29880464
4253848	question	29857565
2106609	question	29855533
2420042	question	29635431
3510597	question	29625047
278893	question	29518816
3730179	question	29480730
4618619	question	29461937
3606004	question	29445014
3634173	question	29397919
2313464	question	29376053
723627	question	7797156
2001594	question	29218554
1942670	question	29202017
3355076	question	22080548
4551621	question	29158351
1218380	question	29140131
4660895	question	29078701
4334927	question	29050868
2945958	question	29034187
4637160	question	28983430
1161353	question	13979394
3235483	question	28911430
2302662	question	28776663
4443442	question	28665828
2851618	question	28658057
4533291	question	28369962
3265508	question	28350748
57872	question	28343746
629127	question	28320798
4523203	question	28311368
4429401	question	28202811
4429401	question	28160409
1269907	question	27988268
3313242	question	27898038
2277150	question	27882466
3405502	question	27655950
2218509	question	27642278
4390303	question	27640556
4067304	question	27573619
1350614	question	10393969
1031362	question	26722774
2498890	question	27378827
2585090	question	27249473
2936448	question	27083494
4144721	question	26502054
3486430	question	26446498
3201696	question	26384566
3756781	question	26182437
2279078	question	26248390
2089267	question	26246701
3077601	question	26224702
3542254	question	26036741
3330034	question	25942730
2611329	question	25918876
1233788	question	20638964
3903716	question	25484787
1424667	question	25478511
3117555	question	25438358
1880580	question	24843636
3120906	question	25218044
3740413	question	25213925
3817050	question	25041296
2751134	question	24938377
3817050	question	24875251
2516529	question	24880815
1379292	question	24818216
3846973	question	24792139
2064800	question	24772704
3842785	question	24769070
3722399	question	24712357
3817083	question	24635896
2958431	question	24597739
1278673	question	24532381
2474872	question	24503852
2732875	question	24090595
208081	question	23344231
983438	question	23969090
3180638	question	23961572
3668936	question	23829720
1678406	question	23744706
144088	question	23743528
1613047	question	23707602
1305850	question	14942923
1759845	question	23628052
2028856	question	23589052
3127799	question	23458675
1125062	question	10646112
1335711	question	23428737
2890876	question	22324663
2005622	question	23127477
1150599	question	23177619
1190288	question	23129374
2904881	question	23031777
2361991	question	22925933
2533082	question	22894244
3180638	question	22870928
2217822	question	22694224
2108870	question	22670038
3465076	question	22667116
3457902	question	22624457
2498890	question	22489178
3433048	question	22481611
3380148	question	22272027
3355076	question	22134724
1074005	question	22101090
2363481	question	22018095
2678538	question	21966165
2854582	question	21780360
2872460	question	21798929
1650757	question	20139393
3221708	question	21732297
1330455	question	21607723
3179660	question	21167624
2002077	question	21149955
1108407	question	21082500
1006605	question	21006536
756500	question	20327595
3137631	question	20822225
2629914	question	20622241
2952757	question	20437387
1053949	question	20408882
10422730	answer	58523784
6588621	answer	58475249
3721086	answer	58409893
8997372	answer	58410553
4733161	answer	58231357
7137890	answer	57373820
1959054	answer	57372983
985399	answer	56962036
9108165	answer	56238433
8071073	answer	55423467
1210271	answer	55151140
68788	answer	55151075
2943218	answer	54594045
1651224	answer	54556649
7393478	answer	54075897
3176303	answer	54075575
9642717	answer	53990521
383904	answer	53978913
2003070	answer	53978788
4294381	answer	53845042
8505497	answer	53845013
10352943	answer	53558480
2260426	answer	37050635
8440598	answer	53309714
1354685	answer	52901119
6081906	answer	51789748
6542963	answer	51789453
4775645	answer	51769423
4348556	answer	51768941
8073040	answer	51546851
3571366	answer	51419544
9968719	answer	51196678
519413	answer	51066402
4775312	answer	51066349
9503418	answer	50996792
1799794	answer	50654164
8285970	answer	50517369
2872371	answer	50517126
2201975	question	20323238
1642344	question	20317136
2665236	question	20289000
2981058	question	20168357
2513846	question	20122507
2804469	question	20024247
1870109	question	16577165
1724828	question	19739393
1374796	question	19663343
2738999	question	19591241
2746178	question	19527705
2763154	question	19505959
2339984	question	19495926
2772605	question	19407915
2875477	question	19342422
1923179	question	18934298
1802970	question	18485786
2248259	question	19017569
2810940	question	18981122
1488814	question	18951678
1923179	question	18888924
1424290	question	18852253
1272616	question	18807474
2747192	question	18802629
1051065	question	18455799
1110621	question	18613107
2059996	question	18607835
1363964	question	17825237
1457726	question	17552607
2560241	question	17523780
1951979	question	17519854
1202386	question	10562813
398431	question	5312707
2119651	question	15136417
657266	question	15091721
1749212	question	14847134
2065044	question	14834635
1476069	question	14593063
1341418	question	11539866
1032650	question	14571793
1926956	question	14151593
1941842	question	14116345
1166683	question	13454876
1556487	question	12311727
675065	question	12121183
821952	question	11830083
1496827	question	11322056
707381	question	10531322
410856	question	9943435
1148619	question	9687614
410856	question	9178927
410856	question	9168520
696465	question	9037524
808891	question	7824368
800452	question	7650426
654994	question	6005836
729789	question	6351042
367401	question	5755765
398431	question	5292909
110282	question	4923285
114696	question	4596012
5204681	answer	37371878
704894	answer	10214456
5177045	answer	50010124
5535040	answer	50009916
1179077	answer	49580837
2367096	answer	49308211
438581	answer	49116382
7056686	answer	49043222
5340347	answer	48845956
8620333	answer	48845894
4764055	answer	48827537
5757843	answer	48826666
695364	answer	48613227
863012	answer	35939303
9097183	answer	48539652
6567275	answer	48443069
4281779	answer	47945001
6460365	answer	48250590
8438534	answer	48002762
9148822	answer	48068946
5225334	answer	48068828
4314475	answer	48002530
2297722	answer	48002512
2560539	answer	47945070
1234087	answer	47791218
4540183	answer	47727440
8733589	answer	47585920
438581	answer	47586953
4224574	answer	47582366
691711	answer	47579062
8325653	answer	47437693
6700627	answer	47325756
2973474	answer	47319536
1891677	answer	47319592
5374560	answer	47319593
8380177	answer	47179280
3527465	answer	46902353
4659098	answer	46902178
1433217	answer	46691473
3069503	answer	46686347
2929632	answer	46350700
8620333	answer	46350250
590373	answer	46322426
3212723	answer	46322338
5924562	answer	46246817
5459839	answer	46246737
4028085	answer	46246584
5490908	answer	46144122
2427065	answer	45809565
7132835	answer	45699148
2419686	answer	45657300
5991278	answer	45656840
2159528	answer	45656704
2801559	answer	45655772
8427082	answer	45540336
4051713	answer	45513217
8309060	answer	45478976
3588584	answer	45478487
46914	answer	45271772
1548895	answer	45268332
8354151	answer	45269202
3502971	answer	45268411
2542525	answer	45268264
695364	answer	45268305
5664434	answer	45268300
5208460	answer	45268271
8353019	answer	45264823
6124708	answer	45263625
5647049	answer	45263589
7079025	answer	45263469
7177498	answer	45263459
5641669	answer	45178940
7996196	answer	45178795
6542267	answer	45093222
2848941	answer	45092550
440646	answer	45092530
5641669	answer	45092325
3844188	answer	45030333
462627	answer	45030302
7043325	answer	45018098
8250186	answer	44933581
1234260	answer	44933644
4878695	answer	44933552
1846087	answer	44861890
2542525	answer	44862017
6932159	answer	44805457
7945532	answer	44804887
1819684	answer	44783274
2473752	answer	44783103
7947689	answer	44761824
2406211	answer	44676106
7654873	answer	44676047
2932476	answer	44431217
3895033	answer	44431275
6247556	answer	44378980
4336685	answer	44323201
2904249	answer	44311157
5835777	answer	44265254
2354493	answer	44262686
2315360	answer	44176618
5412657	answer	44126466
4315422	answer	44083407
8033577	answer	44083337
7099639	answer	44019545
1336174	answer	44003853
