owner	score	last_edit_date	last_activity_date	creation_date	post_type	post_id	link
{'reputation': 29, 'user_id': 12231153, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/TUvGV.jpg?s=128&g=1', 'display_name': 'thanosdidnothingwrong', 'link': 'https://stackoverflow.com/users/12231153/thanosdidnothingwrong'}	0	1571835541.0	1571836625	1571835163	question	58523317	https://stackoverflow.com/q/58523317
{'reputation': 33, 'user_id': 12240008, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9a8e8d8e8ed9e8b25b7fc83459bed653?s=128&d=identicon&r=PG&f=1', 'display_name': 'Viaoer43', 'link': 'https://stackoverflow.com/users/12240008/viaoer43'}	0	1571528799.0	1571591109	1571513412	question	58467292	https://stackoverflow.com/q/58467292
{'reputation': 81, 'user_id': 8997372, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://lh3.googleusercontent.com/-QhL8dHYK5BY/AAAAAAAAAAI/AAAAAAAAM5U/Uwp1tjB7YvQ/photo.jpg?sz=128', 'display_name': 'ImranR', 'link': 'https://stackoverflow.com/users/8997372/imranr'}	-4	1571219995.0	1571220762	1571216916	question	58409708	https://stackoverflow.com/q/58409708
{'reputation': 1248, 'user_id': 735239, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/93ebe35c084beae365482f34ce01206f?s=128&d=identicon&r=PG', 'display_name': 'daveycroqet', 'link': 'https://stackoverflow.com/users/735239/daveycroqet'}	2		1570172230	1453491937	question	34954689	https://stackoverflow.com/q/34954689
{'reputation': 6460, 'user_id': 1328888, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://i.stack.imgur.com/tOkv0.jpg?s=128&g=1', 'display_name': 'anoopelias', 'link': 'https://stackoverflow.com/users/1328888/anoopelias'}	0	1565086271.0	1565086640	1565082132	question	57372502	https://stackoverflow.com/q/57372502
{'reputation': 298, 'user_id': 4799758, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/Z5GJU.png?s=128&g=1', 'display_name': 'Tomasz Cz.', 'link': 'https://stackoverflow.com/users/4799758/tomasz-cz'}	2		1562726404	1431589300	question	30231943	https://stackoverflow.com/q/30231943
{'reputation': 319, 'user_id': 882773, 'user_type': 'registered', 'accept_rate': 52, 'profile_image': 'https://i.stack.imgur.com/Cprqt.jpg?s=128&g=1', 'display_name': 'Atasha', 'link': 'https://stackoverflow.com/users/882773/atasha'}	0		1561801226	1561801226	question	56816517	https://stackoverflow.com/q/56816517
{'reputation': 166, 'user_id': 6010117, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://i.stack.imgur.com/3bx5T.png?s=128&g=1', 'display_name': 'iJamesPHP', 'link': 'https://stackoverflow.com/users/6010117/ijamesphp'}	1	1457622807.0	1561351796	1457622151	question	35920090	https://stackoverflow.com/q/35920090
{'reputation': 8, 'user_id': 10055952, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c1c91979ceafc5caf5efd0d0f3ebea49?s=128&d=identicon&r=PG&f=1', 'display_name': 'Patrick Jordan', 'link': 'https://stackoverflow.com/users/10055952/patrick-jordan'}	0	1559691831.0	1559691831	1559690231	question	56452461	https://stackoverflow.com/q/56452461
{'reputation': 31, 'user_id': 11469969, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-3EsmuzY7FwQ/AAAAAAAAAAI/AAAAAAAAADg/agFR7fTMkHw/photo.jpg?sz=128', 'display_name': 'Dominik Śliwiński', 'link': 'https://stackoverflow.com/users/11469969/dominik-%c5%9aliwi%c5%84ski'}	0	1558540617.0	1558540617	1558436604	question	56236905	https://stackoverflow.com/q/56236905
{'reputation': 511, 'user_id': 4411080, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/6bd11dec034ead7b3dba3c7263306b49?s=128&d=identicon&r=PG&f=1', 'display_name': 'ProGrammer', 'link': 'https://stackoverflow.com/users/4411080/programmer'}	1		1557838541	1517463153	question	48555963	https://stackoverflow.com/q/48555963
{'reputation': 777, 'user_id': 1096998, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/01e412429746993769f3eda90c31e386?s=128&d=identicon&r=PG', 'display_name': 'AJ Naidas', 'link': 'https://stackoverflow.com/users/1096998/aj-naidas'}	0	1555127775.0	1555127775	1329812466	question	9374228	https://stackoverflow.com/q/9374228
{'reputation': 1, 'user_id': 10719129, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2343f36bfcffb599540e7c676c3315d1?s=128&d=identicon&r=PG&f=1', 'display_name': 'gtbannas', 'link': 'https://stackoverflow.com/users/10719129/gtbannas'}	0	1554923351.0	1554923351	1554849855	question	55602332	https://stackoverflow.com/q/55602332
{'reputation': 1357, 'user_id': 10515503, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/71X2K.png?s=128&g=1', 'display_name': 'Mr. Jo', 'link': 'https://stackoverflow.com/users/10515503/mr-jo'}	-1	1553950728.0	1553950728	1553881797	question	55423020	https://stackoverflow.com/q/55423020
{'reputation': 8291, 'user_id': 467732, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/93af4ec7a03d6ec6e95eff3a83af3dd4?s=128&d=identicon&r=PG&f=1', 'display_name': 'Jake Lucas', 'link': 'https://stackoverflow.com/users/467732/jake-lucas'}	4	1553771997.0	1553771997	1435572462	question	31112901	https://stackoverflow.com/q/31112901
