asker	answer
12231153	10422730
12240008	6588621
8997372	8997372
735239	4987197
1328888	1959054
4799758	1021703
6010117	863012
11469969	9108165
1096998	1193055
10515503	8071073
467732	1486486
9565908	68788
1757401	467853
10716939	2943218
1651224	1651224
1031569	3176303
7297002	5260024
8709940	2003070
10626486	8505497
4406522	1483413
3549132	2526525
4770609	8440598
7947246	1354685
9859452	6542963
10140611	8073040
9822065	3571366
9968719	9968719
4894657	4775312
3243173	1844763
8974334	2872371
4635579	1828235
1118019	69083
6423904	5535040
8964633	1179077
5831005	2367096
7069608	438581
9386839	7056686
8634006	8620333
8769474	5757843
9313899	695364
5716477	9097183
4566161	6567275
6313073	2513159
5015595	2560539
5010770	6460365
6518078	2297722
9063677	5225334
5673922	8620333
8724413	1234087
7356888	4540183
961296	691711
6928258	8325653
8398927	6700627
9382	5374560
8906381	8380177
8420023	4659098
8200184	3069503
6813005	3212723
7940355	2542525
8507117	5490908
6108371	4423636
6728630	2427065
372630	7132835
7058735	2159528
8061998	2801559
7563449	4051713
1767759	845059
1784053	3588584
4297979	46914
6124708	7177498
8108219	5208460
3569413	7996196
5477594	5641669
1993760	462627
7043325	7043325
7246191	7945532
6515530	2473752
2763154	255376
6527844	7654873
7721665	3895033
8089014	6247556
7684942	2904249
8086411	2354493
4684797	3219157
8064006	2315360
8051266	5412657
4332480	8033577
7099639	1336174
4562144	4171115
6749771	7011496
7809774	194533
7903731	1123505
7786344	7152885
7559344	6637228
7630046	7921161
7388434	1989960
2276736	2333214
5872371	7650542
5844782	6554121
7826395	7719592
5337466	5178016
7814912	383904
6707521	7692672
3042018	7692672
7725231	3275665
7737117	7717626
5367133	715680
7298899	5273689
705725	8093451
1116783	4867993
4063617	5740464
3819449	2116097
3386779	7394630
3870112	4826740
7632450	431859
3523912	7598731
7594944	7432906
7591175	4849258
5611077	3964601
7428715	4181180
5615228	1123505
3856177	7466829
6222152	5790498
7366625	519413
6696904	7091398
1115367	3449215
4174195	1176359
2822337	949744
2649769	848740
7289427	6558959
6546151	6572922
5900689	374601
4731885	2159528
7278812	6436398
4704969	4305494
7208831	7208831
5493076	1563445
7207330	4885784
3771012	4737729
1974790	5437621
3005003	687901
3907658	5545315
3634506	6935327
4640719	6555896
6923084	2893878
6166930	1278987
3677168	3677168
4785333	4908989
4282529	4555964
6774235	5509709
6845164	996100
5681081	157247
1636876	3914724
1139398	4946364
6401008	1087910
5069132	6715237
6475972	3841431
1008823	3967255
6275579	6741739
3781199	6683128
6653823	2437790
5707809	157247
6708287	6304917
5619896	768795
6438201	4281779
1218380	4478897
4400252	4400252
3743069	3905567
6330628	1052826
4363387	1960455
6461911	1447509
5010192	2065039
6501933	4147978
5813068	2474466
1066197	2883651
3140707	422203
2225110	2560539
5331601	5340535
6385173	3801947
4983469	6278923
6408838	5104748
3732711	3971928
4506154	2863319
4381665	1601698
6300892	6315719
4307429	6028607
5425885	1365104
1348596	309383
5217568	4670340
5027061	3386635
2216919	1752518
2688196	1203457
6275215	3317022
2030321	5703316
5395185	4004133
6054195	1603968
6059023	1053949
6157267	6157267
3808794	383904
5728675	1079221
5873517	1055103
3164386	3064056
5818302	3792090
5152892	2606013
2761425	4336685
5061865	1918890
4639312	3570747
4671920	2707010
5889751	4050852
3299574	1479535
5902266	1429980
5661019	5656059
1760937	5231186
4541434	5834064
456332	1391671
568503	1799096
5822173	4316126
5494384	5814792
4265798	2754599
2363199	1132354
419425	1079913
1561550	1428241
5812048	5812048
4864334	114251
4357818	383904
5762524	4255447
5727130	5708097
580950	336441
3624793	2680216
1043706	1876473
5570920	2328974
5244870	1882699
4907142	1755251
4735105	2792819
3607726	4908989
3537915	3073244
4461239	3164751
5609116	3385827
4997649	1462830
2457563	1102574
2024493	2024493
1677692	5539748
3914509	3002426
4972993	4336761
2308024	1243086
3522687	1738328
3967113	2851301
3344629	3385827
629127	3526422
3422159	3258604
4118402	2359436
3390083	4703663
1030291	2037556
1570524	5118056
4803173	5429061
1561346	2074346
4021991	2031863
4909783	361762
2076123	1015959
1144247	1428241
1231901	1428241
1548964	1220864
1198939	1428241
1038814	1242389
5369127	4592928
1374796	623178
4848302	4671195
4289616	2992220
3880396	4867993
2769095	3225108
1893672	5285945
4634937	2805519
4534860	4365315
5262198	5258183
4934026	5246327
1672778	1667136
3715390	5122581
1721367	2991619
5108384	4306798
1573710	5200780
2057387	4844421
3680657	4725625
4223358	2720041
4490837	3509618
4853130	5037551
4505901	3498950
2500177	1143572
5123400	3480602
5132263	4780390
1218781	4179776
4110405	1913729
1280391	1280391
4568705	19068
4331819	649504
4409650	4037707
2993494	1344955
1875937	2661301
2231031	1877390
4933137	3973105
3740894	557748
5021167	4937944
4239526	4928759
4932412	1582029
4354830	4908989
1046690	2801559
1318872	1317805
4921783	3468982
4822032	3903374
4837417	4157279
4222861	3700849
4914404	1213296
4575240	4698464
1027620	1535827
4833572	3546939
4253848	949476
2106609	3389866
2420042	3703531
3510597	1221792
278893	278893
3730179	4756106
3606004	4746418
3634173	3815092
2313464	1659277
723627	239078
2001594	1483981
3355076	3374771
4660895	1316698
2945958	4572668
4637160	519413
1161353	1053949
3235483	3581423
2302662	4603285
4443442	2902208
2851618	1496715
4533291	519413
3265508	2480715
57872	128165
4523203	1308757
4429401	4466092
1269907	1585362
2277150	3315133
3405502	586051
2218509	2573335
4390303	1240972
1350614	1001563
1031362	2702894
2498890	249867
2585090	4003182
2936448	2173853
3486430	3905567
3756781	2315558
2279078	114251
2089267	3943125
3077601	3577767
3542254	4055525
3330034	242076
2611329	2578037
1233788	4000611
3903716	114251
1424667	1375710
3117555	3749553
1880580	1880580
3740413	839501
3817050	1433150
2751134	798539
2516529	2334320
1379292	2540625
2064800	2064800
3842785	3809630
3817083	1428241
2958431	1118830
1278673	1260245
2474872	3639582
2732875	3693099
208081	2689500
983438	240613
3180638	1828084
3668936	3650375
1678406	154112
144088	3629257
1613047	3637307
1305850	1145578
1759845	1696560
2028856	1169959
1125062	575527
1335711	3589586
2890876	2281280
2005622	1400370
1150599	1249198
1190288	2138752
2904881	395910
2361991	965051
2533082	3324060
2217822	2333214
3465076	1414562
3457902	1356145
3380148	2211053
1074005	463205
2363481	449455
2678538	984861
2854582	2065702
2872460	3041194
1650757	2876280
3221708	2993986
1330455	3041194
2002077	3041194
1108407	3041194
1006605	1727038
756500	2695742
3137631	2065702
2629914	681895
2952757	3075664
1053949	2093626
2201975	2026065
2665236	3049246
2981058	3023877
2513846	2914742
2804469	2999947
1870109	1005975
1724828	1829219
2738999	1278604
2746178	2588368
2339984	1165535
2772605	2266713
2875477	2875033
1923179	2660181
1802970	538901
2248259	2323059
2810940	114251
1488814	1723626
1424290	2201975
1272616	848164
2747192	2758769
1051065	2788
1110621	3575029
2059996	2668119
1363964	688422
1457726	1112154
2560241	363341
1951979	837251
1202386	157247
398431	405143
2119651	847135
657266	1620827
1749212	2060505
2065044	1910265
1476069	884934
1341418	1456376
1032650	1459299
1926956	840604
1941842	22550
1166683	1166683
1556487	1645503
675065	1614825
821952	1171241
1496827	816620
707381	1070844
410856	410856
1148619	1265216
696465	752738
808891	950669
800452	1617926
654994	419970
729789	719312
367401	157601
110282	480513
114696	34088
